Date/Time,Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
01/01/2022 00:00,2.477,4.11,6.136,8.23,90.0,25.75
01/01/2022 00:30,2.259,3.24,5.871,8.179,98.0,25.75
01/01/2022 01:00,2.268,4.28,5.752,8.174,87.0,25.8
01/01/2022 01:30,2.452,3.97,5.987,8.719,80.0,25.8
01/01/2022 02:00,2.26,3.514,5.824,8.654,90.0,25.75
01/01/2022 02:30,2.386,3.77,6.16,8.895,90.0,25.75
01/01/2022 03:00,2.462,4.49,6.032,8.73,84.0,25.8
01/01/2022 03:30,2.321,3.64,6.11,8.255,80.0,25.75
01/01/2022 04:00,2.481,4.742,6.23,8.586,83.0,25.75
01/01/2022 04:30,2.292,4.01,5.966,8.589,83.0,25.75
01/01/2022 05:00,2.393,4.12,6.25,7.865,91.0,25.75
01/01/2022 05:30,2.376,4.0,5.991,8.612,92.0,25.75
01/01/2022 06:00,2.493,3.85,6.348,8.619,84.0,25.75
01/01/2022 06:30,2.557,4.87,6.104,8.84,77.0,25.75
01/01/2022 07:00,2.495,4.618,6.035,9.088,81.0,25.75
01/01/2022 07:30,2.438,3.66,6.216,8.472,84.0,25.75
01/01/2022 08:00,2.477,4.66,6.447,8.554,83.0,25.75
01/01/2022 08:30,2.728,4.11,6.696,8.97,92.0,25.75
01/01/2022 09:00,2.55,4.38,6.618,9.367,84.0,25.75
01/01/2022 09:30,2.53,3.67,6.41,9.14,83.0,25.75
01/01/2022 10:00,2.592,4.36,6.688,9.409,84.0,25.75
01/01/2022 10:30,2.789,4.98,6.733,9.031,78.0,25.8
01/01/2022 11:00,2.57,4.21,6.499,9.687,84.0,25.8
01/01/2022 11:30,2.712,4.188,6.714,9.012,85.0,25.8
01/01/2022 12:00,2.649,4.06,6.658,9.878,83.0,25.85
01/01/2022 12:30,2.889,4.67,7.011,8.907,84.0,25.8
01/01/2022 13:00,2.687,4.65,6.711,9.726,78.0,25.85
01/01/2022 13:30,2.565,4.01,6.612,9.192,84.0,25.85
01/01/2022 14:00,2.794,4.75,6.773,9.695,83.0,25.8
01/01/2022 14:30,2.586,4.63,6.64,10.015,73.0,25.8
01/01/2022 15:00,2.822,4.763,6.519,9.253,66.0,25.8
01/01/2022 15:30,2.707,4.16,6.978,9.691,87.0,25.8
01/01/2022 16:00,2.737,4.763,6.827,9.041,70.0,25.8
01/01/2022 16:30,2.706,4.746,6.88,9.803,80.0,25.75
01/01/2022 17:00,2.635,4.72,6.701,8.917,71.0,25.8
01/01/2022 17:30,2.558,4.12,6.697,10.02,73.0,25.8
01/01/2022 18:00,2.651,3.94,6.947,9.763,80.0,25.75
01/01/2022 18:30,2.602,5.17,7.003,9.719,71.0,25.75
01/01/2022 19:00,2.438,3.784,6.876,9.933,71.0,25.75
01/01/2022 19:30,2.253,3.18,6.764,9.596,74.0,25.7
01/01/2022 20:00,2.574,4.0,6.961,9.81,75.0,25.7
01/01/2022 20:30,2.335,3.04,6.963,9.781,78.0,25.65
01/01/2022 21:00,2.284,3.86,6.758,9.39,80.0,25.65
01/01/2022 21:30,2.263,3.92,6.782,10.228,83.0,25.65
01/01/2022 22:00,2.491,3.576,6.954,8.991,78.0,25.65
01/01/2022 22:30,2.406,4.03,6.732,9.757,77.0,25.65
01/01/2022 23:00,2.371,3.98,7.094,9.963,74.0,25.6
01/01/2022 23:30,2.407,3.85,6.462,8.946,71.0,25.55
01/02/2022 00:00,2.522,5.21,7.343,10.233,71.0,25.55
01/02/2022 00:30,2.345,3.78,6.743,9.401,83.0,25.5
01/02/2022 01:00,2.507,4.21,7.259,9.932,84.0,25.45
01/02/2022 01:30,2.609,4.7,7.141,10.217,74.0,25.45
01/02/2022 02:00,2.614,4.24,7.202,10.294,74.0,25.5
01/02/2022 02:30,2.815,4.6,7.113,10.275,75.0,25.5
01/02/2022 03:00,2.794,4.45,7.763,10.4,75.0,25.5
01/02/2022 03:30,2.549,3.61,6.903,10.358,71.0,25.5
01/02/2022 04:00,2.774,4.97,7.576,10.297,85.0,25.5
01/02/2022 04:30,2.849,4.61,7.077,10.442,77.0,25.5
01/02/2022 05:00,2.512,3.96,6.737,10.727,77.0,25.5
01/02/2022 05:30,2.687,4.09,6.902,10.22,75.0,25.5
01/02/2022 06:00,2.898,4.96,7.151,10.891,71.0,25.5
01/02/2022 06:30,2.856,4.48,7.427,10.526,70.0,25.5
01/02/2022 07:00,2.584,3.94,6.961,9.413,77.0,25.5
01/02/2022 07:30,2.884,4.56,7.557,10.679,68.0,25.5
01/02/2022 08:00,3.006,4.98,7.599,9.899,77.0,25.5
01/02/2022 08:30,3.063,4.97,7.796,10.759,90.0,25.55
01/02/2022 09:00,2.791,4.26,7.237,10.664,73.0,25.55
01/02/2022 09:30,2.858,4.591,7.685,9.772,80.0,25.6
01/02/2022 10:00,2.791,4.02,7.731,10.209,78.0,25.6
01/02/2022 10:30,2.857,4.7,7.735,11.249,75.0,25.65
01/02/2022 11:00,2.951,4.62,7.704,10.522,73.0,25.65
01/02/2022 11:30,2.828,4.78,6.971,11.281,83.0,25.7
01/02/2022 12:00,3.004,4.93,7.367,11.253,75.0,25.7
01/02/2022 12:30,2.874,5.164,7.465,10.838,77.0,25.7
01/02/2022 13:00,3.435,4.829,7.885,11.369,80.0,25.7
01/02/2022 13:30,3.052,4.79,7.334,10.874,75.0,25.75
01/02/2022 14:00,2.76,4.61,6.971,10.935,81.0,25.7
01/02/2022 14:30,3.059,4.65,7.558,10.859,80.0,25.7
01/02/2022 15:00,2.779,4.955,6.86,11.507,75.0,25.7
01/02/2022 15:30,3.124,4.57,7.743,11.028,87.0,25.7
01/02/2022 16:00,3.19,4.951,7.605,11.375,78.0,25.7
01/02/2022 16:30,2.983,4.67,7.344,11.346,83.0,25.65
01/02/2022 17:00,2.97,4.84,7.304,10.43,81.0,25.65
01/02/2022 17:30,2.929,4.21,7.316,10.507,83.0,25.65
01/02/2022 18:00,2.954,5.09,7.238,10.898,85.0,25.6
01/02/2022 18:30,2.97,5.181,7.374,10.903,81.0,25.6
01/02/2022 19:00,3.008,5.64,7.297,11.344,83.0,25.6
01/02/2022 19:30,2.957,4.333,7.588,11.529,88.0,25.6
01/02/2022 20:00,3.142,5.09,7.732,11.472,80.0,25.55
01/02/2022 20:30,3.21,5.51,7.727,11.481,83.0,25.55
01/02/2022 21:00,3.256,6.07,7.842,11.109,87.0,25.55
01/02/2022 21:30,2.843,5.2,7.147,11.46,84.0,25.55
01/02/2022 22:00,3.533,6.65,8.228,11.582,88.0,25.5
01/02/2022 22:30,3.407,5.22,8.101,12.822,85.0,25.5
01/02/2022 23:00,3.223,5.95,7.95,11.502,85.0,25.5
01/02/2022 23:30,3.09,4.72,7.672,12.833,88.0,25.5
01/03/2022 00:00,3.464,5.05,8.528,13.559,84.0,25.5
01/03/2022 00:30,3.387,5.97,9.126,12.041,88.0,25.5
01/03/2022 01:00,3.182,4.82,8.819,12.273,91.0,25.5
01/03/2022 01:30,2.829,4.614,8.628,12.957,90.0,25.45
01/03/2022 02:00,3.163,5.31,8.613,12.434,91.0,25.45
01/03/2022 02:30,2.998,5.09,8.874,12.707,88.0,25.45
01/03/2022 03:00,3.356,7.1,9.386,13.204,85.0,25.45
01/03/2022 03:30,3.346,5.83,9.206,13.818,92.0,25.45
01/03/2022 04:00,3.231,5.25,8.993,13.682,97.0,25.4
01/03/2022 04:30,3.243,5.02,9.14,13.007,94.0,25.45
01/03/2022 05:00,3.332,6.44,8.785,13.063,90.0,25.4
01/03/2022 05:30,3.158,5.8,9.434,12.89,94.0,25.4
01/03/2022 06:00,2.805,5.49,8.491,13.084,88.0,25.4
01/03/2022 06:30,2.95,5.66,8.28,12.864,94.0,25.4
01/03/2022 07:00,2.926,4.38,9.016,12.824,97.0,25.4
01/03/2022 07:30,2.878,4.61,8.657,12.481,88.0,25.4
01/03/2022 08:00,2.721,4.1,8.564,12.217,92.0,25.4
01/03/2022 08:30,2.578,4.33,8.56,12.834,98.0,25.4
01/03/2022 09:00,2.562,3.99,7.872,12.713,95.0,25.4
